,Authors,Title,Year,Cited by,Funding Details,Country
1672,"Schiffer C.A., Caldwell J.W., Kollman P.A., Stroud R.M.",Prediction of homologous protein structures based on conformational searches and energetics,1990,49.0,National Institute of General Medical Sciences,United States
1673,"Young B.A., Hall A., Pilon L., Gupta P., Sant G.",Can the compressive strength of concrete be estimated from knowledge of the mixture proportions?: New insights from statistical analysis and machine learning methods,2019,48.0,"National Science Foundation

University of California, Los Angeles",United States
1674,"Duarte J., Han S., Harris P., Jindariani S., Kreinar E., Kreis B., Ngadiuba J., Pierini M., Rivera R., Tran N., Wu Z.",Fast inference of deep neural networks in FPGAs for particle physics,2018,48.0,"National Science Foundation

Horizon 2020 Framework Programme

European Research Council",United States
1675,"Heidari M., Khuzani A.Z., Hollingsworth A.B., Danala G., Mirniaharikandehei S., Qiu Y., Liu H., Zheng B.",Prediction of breast cancer risk using a machine learning approach embedded with a locality preserving projection algorithm,2018,48.0,"National Institutes of Health

National Cancer Institute

University of Oklahoma",United States
1676,"Manduca C.A., Iverson E.R., Luxenberg M., Heather Macdonald R., McConnell D.A., Mogk D.W., Tewksbury B.J.",Improving undergraduate STEM education: The efficacy of discipline-based professional development,2017,48.0,"National Science Foundation

Division of Undergraduate Education",United States
1677,"Wang C., Zhang Y.",Improving scoring-docking-screening powers of protein–ligand scoring functions using random forest,2017,48.0,National Institute of General Medical Sciences,United States
1678,"Xu L., Wu X., Chen K., Yao L.",Multi-modality sparse representation-based classification for Alzheimer's disease and mild cognitive impairment,2015,48.0,"National Natural Science Foundation of China

Program for New Century Excellent Talents in University",United States
1679,"Lee H.J., Palm J., Grimes S.M., Ji H.P.",The Cancer Genome Atlas Clinical Explorer: A web and mobile interface for identifying clinical-genomic driver associations,2015,48.0,"National Human Genome Research Institute

National Cancer Institute",United States
1680,"Xu Z., Yan F., Qi Y.",Bayesian nonparametric models for multiway data analysis,2015,48.0,National Science Foundation,United States
1681,"Mehta D.D., Van Stan J.H., Zañartu M., Ghassemi M., Guttag J.V., Espinoza V.M., Cortés J.P., Cheyne H.A., II, Hillman R.E.",Using ambulatory voice monitoring to investigate common voice disorders: Research update,2015,48.0,0,United States
1682,"Fan J.M., Nuyujukian P., Kao J.C., Chestek C.A., Ryu S.I., Shenoy K.V.",Intention estimation in brain-machine interfaces,2014,48.0,"NIH Office of the Director

National Institute of Neurological Disorders and Stroke

Eunice Kennedy Shriver National Institute of Child Health and Human Development",United States
1683,"Gupta A., Christensen R.G., Bell H.A., Goodwin M., Patel R.Y., Pandey M., Enuameh M.S., Rayla A.L., Zhu C., Thibodeau-Beganny S., Brodsky M.H., Joung J.K., Wolfe S.A., Stormo G.D.",An improved predictive recognition model for Cys2-His 2 zinc finger proteins,2014,48.0,"National Institutes of Health

National Human Genome Research Institute

National Institute of General Medical Sciences",United States
1684,"Wang H., Rong Y., Xiang D.",Mechanical assembly planning using ant colony optimization,2014,48.0,"National Natural Science Foundation of China

Natural Science Foundation of Beijing Municipality

Scientific Research Foundation for Returned Scholars of Ministry of Education",United States
1685,"Buchweitz A., Shinkareva S.V., Mason R.A., Mitchell T.M., Just M.A.",Identifying bilingual semantic neural representations across languages,2012,48.0,"National Science Foundation

National Institute of Mental Health

W. M. Keck Foundation",United States
1686,"Xu M., Tantisira K.G., Wu A., Litonjua A.A., Chu J.-H., Himes B.E., Damask A., Weiss S.T.",Genome Wide Association Study to predict severe asthma exacerbations in children using random forests classifiers,2011,48.0,"National Heart, Lung, and Blood Institute

National Human Genome Research Institute",United States
1687,"Zhang X., Cui J., Nilsson D., Gunasekera K., Chanfon A., Song X., Wang H., Xu Y., Ochsenreiter T.",The Trypanosoma brucei MitoCarta and its regulation and splicing pattern during development,2010,48.0,"National Science Foundation

Office of the Chief Information Officer

Office of the Executive Vice President for Research and Partnerships, Purdue University

Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung

China Scholarship Council",United States
1688,"Han B., Park M., Chen X.-W.",A Markov blanket-based method for detecting causal SNPs in GWAS,2010,48.0,National Science Foundation,United States
1689,"Ambrosini R.D., Wang P., O'Dell W.G.",Computer-aided detection of metastatic brain tumors using automated three-dimensional template matching,2010,48.0,National Institute of General Medical Sciences,United States
1690,"Rehman T.u., Haber E., Pryor G., Melonakos J., Tannenbaum A.",3D nonrigid registration via optimal mass transport on the GPU,2009,48.0,"National Science Foundation

National Institutes of Health

U.S. Department of Energy

National Institute of Biomedical Imaging and Bioengineering

National Center for Research Resources

Air Force Office of Scientific Research

Army Research Office",United States
1691,"Luo W., Hankenson K.D., Woolf P.J.",Learning transcriptional regulatory networks from high throughput gene expression data using continuous three-way mutual information,2008,48.0,"National Institute on Drug Abuse

National Institute of Arthritis and Musculoskeletal and Skin Diseases

National Institute of Dental and Craniofacial Research",United States
1692,"Huttenhower C., Schroeder M., Chikina M.D., Troyanskaya O.G.",The Sleipnir library for computational functional genomics,2008,48.0,"National Science Foundation

National Institutes of Health

National Human Genome Research Institute

National Institute of General Medical Sciences",United States
1693,"Kindlmann G., Tricoche X., Westin C.-F.",Delineating white matter structure in diffusion tensor MRI with anisotropy creases,2007,48.0,"National Institutes of Health

National Institute of Mental Health

National Institute on Aging

National Institute of Biomedical Imaging and Bioengineering

National Center for Research Resources

Johns Hopkins University

Canadian Imperial Bank of Commerce",United States
1694,"Shi Y., Thompson P.M., de Zubicaray G.I., Rose S.E., Tu Z., Dinov I., Toga A.W.",Direct mapping of hippocampal surfaces with intrinsic shape context,2007,48.0,"National Institutes of Health

National Institute of Mental Health

National Institute on Aging

National Center for Research Resources",United States
1695,"Zhang Y., Zhou X., Witt R.M., Sabatini B.L., Adjeroh D., Wong S.T.C.",Dendritic spine detection using curvilinear structure detector and LDA classifier,2007,48.0,"National Institutes of Health

National Institute of Neurological Disorders and Stroke

U.S. National Library of Medicine

Harvard Medical School",United States
1696,"Kim H., Lee J.K., Park T.",Boolean networks using the chi-square test for inferring large-scale gene regulatory networks,2007,48.0,"National Heart, Lung, and Blood Institute",United States
1697,"Park S., Barrett H.H., Clarkson E., Kupinski M.A., Myers K.J.",Channelized-ideal observer using Laguerre-Gauss channels in detection tasks involving non-Gaussian distributed lumpy backgrounds and a Gaussian signal,2007,48.0,National Institute of Biomedical Imaging and Bioengineering,United States
1698,"Mangasarian O.L., Wild E.W.",Nonlinear knowledge in kernel approximation,2007,48.0,National Science Foundation,United States
1699,"El-Shenawee M., Miller E.L.",Spherical harmonics microwave algorithm for shape and location reconstruction of breast cancer tumor,2006,48.0,"National Science Foundation

Arkansas Biosciences Institute

Northeastern University",United States
1700,"Yu H., Wei Y., Hsieh J., Wang G.",Data consistency based translational motion artifact reduction in fan-beam CT,2006,48.0,"National Institutes of Health

National Institute of Biomedical Imaging and Bioengineering",United States
1701,"Liao R., Krolik J.L., McKeown M.J.",An information-theoretic criterion for intrasubject alignment of FMRI time series: Motion corrected independent component analysis,2005,48.0,"National Institutes of Health

National Institute of Neurological Disorders and Stroke

Duke University",United States
1702,"Frumin M., Golland P., Kikinis R., Hirayasu Y., Salisbury D.F., Hennen J., Dickey C.C., Anderson M., Jolesz F.A., Grimson W.E.L., McCarley R.W., Shenton M.E.",Shape differences in the corpus callosum in first-episode schizophrenia and first-episode psychotic affective disorder,2002,48.0,"National Institute of Mental Health

National Center for Research Resources",United States
1703,"Chou S.-C., Gao X.-S., Zhang J.-Z.",Deductive database approach to automated geometry theorem proving and discovering,2000,48.0,National Science Foundation,United States
1704,"Zhang W., Korf R.E.",Performance of linear-space search algorithms,1995,48.0,"National Science Foundation

University of California, Los Angeles",United States
1705,"Lee K.-F., Mahajan S.",The development of a world class Othello program,1990,48.0,National Science Foundation,United States
1706,"Ralescu A.L., Ralescu D.A.",Probability and fuzziness,1984,48.0,"University of Cincinnati

National Science Foundation",United States
1707,Martin K.,Ethical Implications and Accountability of Algorithms,2019,47.0,National Science Foundation,United States
1708,"Qi G., Zhu Z., Erqinhu K., Chen Y., Chai Y., Sun J.",Fault-diagnosis for reciprocating compressors using big data and machine learning,2018,47.0,"National Natural Science Foundation of China

Chongqing University of Posts and Telecommunications

Natural Science Foundation of Chongqing

Fundamental Research Funds for the Central Universities",United States
1709,"Scheideler W.J., Kumar R., Zeumault A.R., Subramanian V.",Low-Temperature-Processed Printed Metal Oxide Transistors Based on Pure Aqueous Inks,2017,47.0,"National Science Foundation

Cara",United States
1710,"DeCost B.L., Jain H., Rollett A.D., Holm E.A.",Computer Vision and Machine Learning for Autonomous Characterization of AM Powder Feedstocks,2017,47.0,National Science Foundation,United States
1711,"Debats S.R., Luo D., Estes L.D., Fuchs T.J., Caylor K.K.",A generalized computer vision approach to mapping crop fields in heterogeneous agricultural landscapes,2016,47.0,"National Science Foundation

National Aeronautics and Space Administration",United States
1712,"Chen Y., Lasko T.A., Mei Q., Denny J.C., Xu H.",A study of active learning methods for named entity recognition in clinical text,2015,47.0,"National Institutes of Health

U.S. National Library of Medicine",United States
1713,"Liu T., Jones C., Seyedhosseini M., Tasdizen T.",A modular hierarchical approach to 3D electron microscopy image segmentation,2014,47.0,"National Science Foundation

National Institutes of Health

National Institute of Neurological Disorders and Stroke",United States
1714,"Zhao N., Han J.G., Shyu C.-R., Korkin D.",Determining Effects of Non-synonymous SNPs on Protein-Protein Interactions using Supervised and Semi-supervised Learning,2014,47.0,National Science Foundation,United States
1715,"Garrard P., Rentoumi V., Gesierich B., Miller B., Gorno-Tempini M.L.",Machine learning approaches to diagnosis and laterality effects in semantic dementia discourse,2014,47.0,"National Institute on Aging

National Institute of Neurological Disorders and Stroke

Medical Research Council",United States
1716,"Wagner N.L., Greco J.A., Ranaghan M.J., Birge R.R.",Directed evolution of bacteriorhodopsin for applications in bioelectronics,2013,47.0,National Institute of General Medical Sciences,United States
1717,"Yang L., Hanneke S., Carbonell J.",A theory of transfer learning with applications to active learning,2013,47.0,National Science Foundation,United States
1718,"Zhao B., Ding H., Lu Y., Wang G., Zhao J., Molloi S.",Dual-dictionary learning-based iterative image reconstruction for spectral computed tomography application,2012,47.0,National Cancer Institute,United States
1719,"Arnold S.E., Xie S.X., Leung Y.-Y., Wang L.-S., Kling M.A., Han X., Kim E.J., Wolk D.A., Bennett D.A., Chen-Plotkin A., Grossman M., Hu W., Lee V.M.-Y., MacKin R.S., Trojanowski J.Q., Wilson R.S., Shaw L.M.",Plasma biomarkers of depressive symptoms in older adults,2012,47.0,National Institute on Aging,United States
1720,"Nie F., Xu D., Li X.",Initialization independent clustering with actively self-training method,2012,47.0,"National Natural Science Foundation of China

National Key Research and Development Program of China",United States
1721,"Zhu Y., Papademetris X., Sinusas A.J., Duncan J.S.",A coupled deformable model for tracking myocardial borders from real-time echocardiography using an incompressibility constraint,2010,47.0,"National Institutes of Health

National Heart, Lung, and Blood Institute",United States
1722,"Demerdash O.N.A., Daily M.D., Mitchell J.C.",Structure-based predictive models for allosteric hot spots,2009,47.0,National Institute of General Medical Sciences,United States
1723,"Danziger S.A., Baronio R., Ho L., Hall L., Salmon K., Wesley Hatfield G., Kaiser P., Lathrop R.H.",Predicting positive p53 cancer rescue regions using Most Informative Positive (MIP) active learning,2009,47.0,"National Cancer Institute

U.S. National Library of Medicine",United States
1724,"Weber C.R., Schwarz R.A., Neely Atkinson E., Cox D.D., Macaulay C., Follen M., Richards-Kortum R.",Model-based analysis of reflectance and fluorescence spectra for in vivo detection of cervical dysplasia and cancer,2008,47.0,National Cancer Institute,United States
1725,"Klammer A.A., Reynolds S.M., Bilmes J.A., Maccoss M.J., Noble W.S.",Modeling peptide fragmentation with dynamic Bayesian networks for peptide identification,2008,47.0,"National Institutes of Health

National Institute of Biomedical Imaging and Bioengineering

National Center for Research Resources",United States
1726,"Donohue K.D., Medonza D.C., Crane E.R., O'Hara B.F.",Assessment of a non-invasive high-throughput classifier for behaviours associated with sleep and wake in mice,2008,47.0,National Science Foundation,United States
1727,Cohen A.M.,Optimizing feature representation for automated systematic review work prioritization.,2008,47.0,U.S. National Library of Medicine,United States
1728,"Barrett H.H., Myers K.J., Devaney N., Dainty C.",Objective assessment of image quality. IV. Application to adaptive optics,2006,47.0,National Institute of Biomedical Imaging and Bioengineering,United States
1729,"Waheed K., Salem F.M.",Blind information-theoretic multiuser detection algorithms for DS-CDMA and WCDMA downlink systems,2005,47.0,National Science Foundation,United States
1730,"Xu H., Springett R., Dehghani H., Pogue B.W., Paulsen K.D., Dunn J.F.",Magnetic-resonance-imaging-coupled broadband near-infrared tomography system for small animal brain studies,2005,47.0,"National Cancer Institute

National Institute of Neurological Disorders and Stroke

National Institute of Biomedical Imaging and Bioengineering",United States
1731,"Burgoon L.D., Eckel-Passow J.E., Gennings C., Boverhof D.R., Burt J.W., Fong C.J., Zacharewski T.R.",Protocols for the assurance of microarray data quality and process control,2005,47.0,"National Institutes of Health

National Cancer Institute

National Institute of Environmental Health Sciences

Michigan Agriculture Experiment Station",United States
1732,"McDonald D.M., Chen H., Su H., Marshall B.B.",Extracting gene pathway relations using a hybrid grammar: The Arizona Relation Parser,2004,47.0,U.S. National Library of Medicine,United States
1733,"Beril Toktay L., Uzsoy R.",A capacity allocation problem with integer side constraints,1998,47.0,"Intel Corporation

General Motors of Canada

National Science Foundation",United States
1734,"Bloedorn E., Michalski R.S.",Data-driven constructive induction,1998,47.0,"National Science Foundation

Office of Naval Research

George Mason University

Advanced Research Projects Agency",United States
1735,"Shehory O., Sycara K., Chalasani P., Jha S.",Agent cloning: An approach to agent mobility and resource allocation,1998,47.0,National Science Foundation,United States
1736,"Larsson J.E., Hayes-Roth B.",Guardian: An intelligent autonomous agent for medical monitoring and diagnosis,1998,47.0,"National Science Foundation

National Aeronautics and Space Administration

Whitaker Foundation",United States
1737,"Giunchiglia E., Kartha G.N., Lifschitz V.",Representing action: Indeterminacy and ramifications,1997,47.0,National Science Foundation,United States
1738,Santos Jr. E.,A linear constraint satisfaction approach to cost-based abduction,1994,47.0,"National Science Foundation

Office of Naval Research",United States
1739,"Goldbaum M.H., Katz N.P., Nelson M.R., Haff L.R.",The discrimination of similarly colored objects in computer images of the ocular fundus,1990,47.0,National Eye Institute,United States
1740,"Rosenkranz H.S., Ennever F.K., Dimayuga M., Klopman G., Hoiden H.E.",Significant differences in the structural basis of the induction of sister chromatid exchanges and chromosomal aberrations in chinese hamster ovary cells,1990,47.0,National Institute of Environmental Health Sciences,United States
1741,"Peng X., Dong K., Ye C., Jiang Y., Zhai S., Cheng R., Liu D., Gao X., Wang J., Wang Z.L.","A breathable, biodegradable, antibacterial, and self-powered electronic skin based on all-nanofiber triboelectric nanogenerators",2020,46.0,National Natural Science Foundation of China,United States
1742,"Agrawal A., Jaiswal A., Lee C., Roy K.",X-SRAM: Enabling in-memory boolean computations in CMOS static random access memories,2018,46.0,"National Science Foundation

Intel Corporation

Defense Advanced Research Projects Agency

Semiconductor Research Corporation",United States
1743,"Orhean A.I., Pop F., Raicu I.",New scheduling approach using reinforcement learning for heterogeneous distributed systems,2018,46.0,Horizon 2020 Framework Programme,United States
1744,"Collins C.R., Gordon G.J., Von Lilienfeld O.A., Yaron D.J.",Constant size descriptors for accurate machine learning models of molecular properties,2018,46.0,National Science Foundation,United States
1745,"Bakkar N., Kovalik T., Lorenzini I., Spangler S., Lacoste A., Sponaugle K., Ferrante P., Argentinis E., Sattler R., Bowser R.",Artificial intelligence in neurodegenerative disease research: use of IBM Watson to identify additional RNA-binding proteins altered in amyotrophic lateral sclerosis,2018,46.0,"National Institutes of Health

National Institute of Neurological Disorders and Stroke

Muscular Dystrophy Association

Barrow Neurological Foundation",United States
1746,"Ch'Ng K., Vazquez N., Khatami E.",Unsupervised machine learning account of magnetic transitions in the Hubbard model,2018,46.0,"National Science Foundation

Norsk Sykepleierforbund

National Science Foundation",United States
1747,"Niu H., Ozanich E., Gerstoft P.",Ship localization in Santa Barbara Channel using machine learning classifiers,2017,46.0,"Office of Naval Research

National Natural Science Foundation of China

China Scholarship Council",United States
1748,"Qian P., Jiang Y., Wang S., Su K.-H., Wang J., Hu L., Muzic R.F.","Affinity and Penalty Jointly Constrained Spectral Clustering with All-Compatibility, Flexibility, and Robustness",2017,46.0,National Cancer Institute,United States
1749,"Rayana S., Akoglu L.",Less is more: Building selective anomaly ensembles,2016,46.0,"National Science Foundation

Army Research Office

Defense Advanced Research Projects Agency",United States
1750,"Fu G., Ding Y., Seal A., Chen B., Sun Y., Bolton E.",Predicting drug target interactions using meta-path-based semantic network analysis,2016,46.0,"National Institutes of Health

U.S. National Library of Medicine",United States
1751,"Bradley J.M., Atkins E.M.",Optimization and control of cyber-physical vehicle systems,2015,46.0,National Science Foundation,United States
1752,"Pedro H.T.C., Coimbra C.F.M.",Nearest-neighbor methodology for prediction of intra-hour global horizontal and direct normal irradiances,2015,46.0,"National Science Foundation

California Energy Commission

School of Electronic Engineering and Computer Science",United States
1753,"Das J., Py F., Harvey J.B.J., Ryan J.P., Gellene A., Graham R., Caron D.A., Rajan K., Sukhatme G.S.",Data-driven robotic sampling for marine ecosystem monitoring,2015,46.0,"National Science Foundation

Office of Naval Research",United States
1754,"Vaglio Laurin G., Cheung-Wai Chan J., Chen Q., Lindsell J.A., Coomes D.A., Guerriero L., Del Frate F., Miglietta F., Valentini R.",Biodiversity mapping in a tropical West African forest with airborne hyperspectral data,2014,46.0,Seventh Framework Programme,United States
1755,"Castro E., Gómez-Verdejo V., Martínez-Ramón M., Kiehl K.A., Calhoun V.D.",A multiple kernel learning approach to perform classification of groups from complex-valued fMRI data analysis: Application to schizophrenia,2014,46.0,"National Institute of Biomedical Imaging and Bioengineering

National Center for Research Resources",United States
1756,"Bedi G., Cecchi G.A., Slezak D.F., Carrillo F., Sigman M., De Wit H.",A window into the intoxicated mind? Speech as an index of psychoactive drug effects,2014,46.0,"National Institute on Drug Abuse

National Center for Advancing Translational Sciences",United States
1757,"Mendizabal-Ruiz E.G., Rivera M., Kakadiaris I.A.",Segmentation of the luminal border in intravascular ultrasound B-mode images using a probabilistic approach,2013,46.0,"National Science Foundation

Consejo Nacional de Ciencia y Tecnología",United States
1758,"Gorkin D.U., Lee D., Reed X., Fletez-Brant C., Bessling S.L., Loftus S.K., Beer M.A., Pavan W.J., McCallion A.S.",Integration of ChIP-seq and machine learning reveals enhancers and a predictive regulatory sequence vocabulary in melanocytes,2012,46.0,"National Human Genome Research Institute

National Institute of General Medical Sciences

National Institute of Neurological Disorders and Stroke",United States
1759,"Perry A.M., Cardesa-Salzmann T.M., Meyer P.N., Colomo L., Smith L.M., Fu K., Greiner T.C., Delabie J., Gascoyne R.D., Rimsza L., Jaffe E.S., Ott G., Rosenwald A., Braziel R.M., Tubbs R., Cook J.R., Staudt L.M., Connors J.M., Sehn L.H., Vose J.M., Loṕez-Guillermo A., Campo E., Chan W.C., Weisenburger D.D.",A new biologic prognostic model based on immunohistochemistry predicts survival in patients with diffuse large B-cell lymphoma,2012,46.0,National Cancer Institute,United States
1760,"Wei W., Visweswaran S., Cooper G.F.",The application of naive Bayes model averaging to predict Alzheimer's disease from genome-wide data,2011,46.0,U.S. National Library of Medicine,United States
1761,"Wei Q., Wang L., Wang Q., Kruger W.D., Dunbrack Jr. R.L.",Testing computational prediction of missense mutation phenotypes: Functional characterization of 204 mutations of human cystathionine beta synthase,2010,46.0,"National Institutes of Health

National Heart, Lung, and Blood Institute

National Institute of General Medical Sciences",United States
1762,"El Naqa I., Bradley J.D., Lindsay P.E., Hope A.J., Deasy J.O.",Predicting radiotherapy outcomes using statistical learning techniques,2009,46.0,National Cancer Institute,United States
1763,"Agarwal S., Yu H.","Automatically classifying sentences in full-text biomedical articles into introduction, methods, results and discussion",2009,46.0,"National Institute of General Medical Sciences

U.S. National Library of Medicine

National Center for Research Resources",United States
1764,"Roebuck J.R., Haker S.J., Mitsouras D., Rybicki F.J., Tempany C.M., Mulkern R.V.",Carr-Purcell-Meiboom-Gill imaging of prostate cancer: quantitative T2 values for cancer discrimination,2009,46.0,"National Institutes of Health

National Cancer Institute

National Center for Research Resources",United States
1765,"Demirci M.F., Shokoufandeh A., Dickinson S.J.",Skeletal shape abstraction from examples,2009,46.0,"National Science Foundation

Natural Sciences and Engineering Research Council of Canada",United States
1766,"Sankaranarayanan A.C., Srivastava A., Chellappa R.",Algorithmic and architectural optimizations for computationally efficient particle filtering,2008,46.0,National Science Foundation,United States
1767,"Sharief A.A., Badea A., Dale A.M., Johnson G.A.",Automated segmentation of the actively stained mouse brain using multi-spectral MR microscopy,2008,46.0,"National Cancer Institute

National Center for Research Resources",United States
1768,"Crouch J.R., Pizer S.M., Chaney E.L., Hu Y.-C., Mageras G.S., Zaider M.",Automated finite-element analysis for deformable registration of prostate images,2007,46.0,"National Cancer Institute

National Institute of Biomedical Imaging and Bioengineering",United States
1769,"Ye Z.-Q., Zhao S.-Q., Gao G., Liu X.-Q., Langlois R.E., Lu H., Wei L.",Finding new structural and sequence attributes to predict possible disease association of single amino acid polymorphism (SAP),2007,46.0,"National Institutes of Health

National Heart, Lung, and Blood Institute

National Institute of Allergy and Infectious Diseases

National Basic Research Program of China (973 Program)",United States
1770,"Goldstein I., Arzrumtsyan A., Uzuner O.",Three approaches to automatic assignment of ICD-9-CM codes to radiology reports.,2007,46.0,U.S. National Library of Medicine,United States
1771,"Köhler J., Munn K., Rüegg A., Skusa A., Smith B.",Quality control for terms and definitions in ontologies and taxonomies,2006,46.0,National Human Genome Research Institute,United States
1772,"Kaur P., O'Connor P.B.",Algorithms for automatic interpretation of high resolution mass spectra,2006,46.0,"National Heart, Lung, and Blood Institute

National Center for Research Resources",United States
1773,"Cohen A.M., Hersh W.R., Dubay C., Spackman K.",Using co-occurrence network structure to extract synonymous gene and protein names from MEDLINE abstracts,2005,46.0,U.S. National Library of Medicine,United States
1774,"Elhadad N., Kan M.-Y., Klavans J.L., McKeown K.R.",Customization in a unified framework for summarizing medical literature,2005,46.0,"National Science Foundation

Columbia University",United States
1775,Joshi A.,"On proxy agents, mobility, and web access",2000,46.0,"National Science Foundation

International Business Machines Corporation",United States
1776,"Deng M., Ho Y.-C.",An ordinal optimization approach to optimal control problems,1999,46.0,National Science Foundation,United States
1777,"Lowe H.J., Antipov I., Hersh W., Smith C.A.","Towards knowledge-based retrieval of medical images. The role of semantic indexing, image content representation and knowledge-based retrieval.",1998,46.0,U.S. National Library of Medicine,United States
1778,"Haimowitz I.J., Le P.P., Kohane I.S.",Clinical monitoring using regression-based trend templates,1995,46.0,"U.S. National Library of Medicine

Charles H. Hood Foundation

Eunice Kennedy Shriver National Institute of Child Health and Human Development",United States
1779,"Zimmerman D., Kulikowski C., Wang L., Lyons B., Montelione G.T.",Automated sequencing of amino acid spin systems in proteins using multidimensional HCC(CO)NH-TOCSY spectroscopy and constraint propagation methods from artificial intelligence,1994,46.0,National Institute of General Medical Sciences,United States
1780,"Rutledge G.W., Thomsen G.E., Farr B.R., Tovar M.A., Polaschek J.X., Beinlich I.A., Sheiner L.B., Fagan L.M.",The design and implementation of a ventilator-management advisor,1993,46.0,"National Science Foundation

U.S. National Library of Medicine",United States
1781,Conrad M.,Molecular Computing: The Lock-Key Paradigm,1992,46.0,National Science Foundation,United States
1782,"MacMahon H., Doi K., Chan H.-P., Giger M.L., Katsuragawa S., Nakamori N.",Computer-aided diagnosis in chest radiology,1990,46.0,"National Cancer Institute

U.S. Public Health Service",United States
1783,Rivest R.L.,Game tree searching by min/max approximation,1987,46.0,National Science Foundation,United States
1784,"Colby K.M., Hilf F.D., Weber S., Kraemer H.C.",Turing-like indistinguishability tests for the validation of a computer simulation of paranoid processes,1972,46.0,"National Institute of Mental Health

Office of the Secretary of Defense",United States
1785,"Collins J., Howe K., Nachman B.",Anomaly Detection for Resonant New Physics with Machine Learning,2018,45.0,"National Science Foundation

U.S. Department of Energy

Office of Science

High Energy Physics",United States
1786,"Ferreira P.V.R., Paffenroth R., Wyglinski A.M., Hackett T.M., Bilen S.G., Reinhart R.C., Mortensen D.J.",Multiobjective Reinforcement Learning for Cognitive Satellite Communications Using Deep Neural Network Ensembles,2018,45.0,"National Science Foundation

Office of Naval Research

National Aeronautics and Space Administration

Defense Advanced Research Projects Agency

Glenn Research Center

Air Force Research Laboratory

U.S. Naval Research Laboratory",United States
1787,"Valdes G., Solberg T.D., Heskel M., Ungar L., Simone C.B.",Using machine learning to predict radiation pneumonitis in patients with stage I non-small cell lung cancer treated with stereotactic body radiation therapy,2016,45.0,National Human Genome Research Institute,United States
1788,"Li Y., Bai C., Reddy C.K.",A distributed ensemble approach for mining healthcare data under privacy constraints,2016,45.0,"National Science Foundation

National Institutes of Health",United States
1789,"Simone E., Saleemi A.N., Nagy Z.K.","In situ monitoring of polymorphic transformations using a composite sensor array of Raman, NIR, and ATR-UV/vis spectroscopy, FBRM, and PVM for an intelligent decision support system",2015,45.0,Seventh Framework Programme,United States
1790,"Boxwala A.A., Kim J., Grillo J.M., Ohno-Machado L.",Using statistical and machine learning to help institutions detect suspicious access to electronic health records,2011,45.0,"National Heart, Lung, and Blood Institute

U.S. National Library of Medicine",United States
1791,"Xu H., Fu Z., Shah A., Chen Y., Peterson N.B., Chen Q., Mani S., Levy M.A., Dai Q., Denny J.C.",Extracting and integrating data from entire electronic health records for detecting colorectal cancer cases.,2011,45.0,"National Cancer Institute

U.S. National Library of Medicine

National Center for Research Resources",United States
1792,"Agius P., Arvey A., Chang W., Noble W.S., Leslie C.",High resolution models of transcription factor-DNA affinities improve in vitro and in vivo binding predictions,2010,45.0,National Institute of General Medical Sciences,United States
1793,"Sznitman R., Jedynak B.",Active testing for face detection and localization,2010,45.0,National Institute of Biomedical Imaging and Bioengineering,United States
1794,"Zhu L., Chen Y., Yuille A.",Learning a hierarchical deformable template for rapid deformable object parsing,2010,45.0,"National Science Foundation

W. M. Keck Foundation",United States
1795,"Patterson A.D., Slanař O., Krausz K.W., Li F., Höfer C.C., Perlík F., Gonzalez F.J., Idle J.R.",Human urinary metabolomic profile of PPARRα induced fatty acid β-oxidation,2009,45.0,National Cancer Institute,United States
1796,"Cohen A.M., Ambert K., McDonagh M.",Cross-Topic Learning for Work Prioritization in Systematic Review Creation and Update,2009,45.0,U.S. National Library of Medicine,United States
1797,"Brankov J.G., Yang Y., Wei L., El Naqa I., Wernick M.N.",Learning a channelized observer for image quality assessment,2009,45.0,"National Institutes of Health

National Heart, Lung, and Blood Institute",United States
1798,"Jehee J.F.M., Ballard D.H.",Predictive feedback can account for biphasic responses in the lateral geniculate nucleus,2009,45.0,National Center for Research Resources,United States
1799,"Yu W., Cao J., Wang J.",An LMI approach to global asymptotic stability of the delayed Cohen-Grossberg neural network via nonsmooth analysis,2007,45.0,"National Natural Science Foundation of China

Natural Science Foundation of Jiangsu Province",United States
1800,"Zhang C., Lu X., Zhang X.",Significance of gene ranking for classification of microarray samples,2006,45.0,"National Natural Science Foundation of China

National Basic Research Program of China (973 Program)",United States
1801,"Zheng B., McLean Jr. D.C., Lu X.",Identifying biological concepts from a protein-related corpus with a probabilistic topic model,2006,45.0,"U.S. National Library of Medicine

National Center for Research Resources",United States
1802,"Marai G.E., Laidlaw D.H., Crisco J.J.",Super-resolution registration using tissue-classified distance fields,2006,45.0,"National Science Foundation

National Institutes of Health

National Institute of Arthritis and Musculoskeletal and Skin Diseases",United States
1803,"Hibbs M.A., Dirksen N.C., Li K., Troyanskaya O.G.",Visualization methods for statistical analysis of microarray clusters,2005,45.0,National Science Foundation,United States
1804,"Pakhomov S.V., Buntrock J., Chute C.G.",Prospective recruitment of patients with congestive heart failure using an ad-hoc binary classifier,2005,45.0,"National Heart, Lung, and Blood Institute",United States
1805,"Olson B.P., Si J., Hu J., He J.",Closed-loop cortical control of direction using support vector machines,2005,45.0,"National Science Foundation

Defense Advanced Research Projects Agency

Whitaker Foundation",United States
