,area_type,availability,location,size,society,total_sqft,bath,balcony,price
10055,Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,,1350,3.0,0.0,60.0
10056,Super built-up  Area,Ready To Move,RMV Extension,3 BHK,Reion M,1675,3.0,3.0,62.0
10057,Super built-up  Area,21-Dec,Thanisandra,2 BHK,Bhe 2ko,1340,2.0,1.0,66.33
10058,Built-up  Area,Ready To Move,Malleshwaram,2 Bedroom,,600,1.0,0.0,68.0
10059,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Vandak ,1276,2.0,2.0,76.0
10060,Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,Srdor S,1738,2.0,3.0,76.0
10061,Super built-up  Area,Ready To Move,"Hoodi Circle, ",2 BHK,,1190,2.0,2.0,59.9
10062,Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,65.45
10063,Super built-up  Area,Ready To Move,Veersandra,2 BHK,Shnto F,1250,2.0,1.0,55.0
10064,Built-up  Area,Ready To Move,ITI Layout,2 BHK,Soarkge,1450,2.0,2.0,90.0
10065,Super built-up  Area,Ready To Move,Kudlu,2 BHK,MRvar S,1084,2.0,1.0,53.0
10066,Built-up  Area,Ready To Move,Kaggadasapura,4 BHK,,2150,4.0,2.0,90.0
10067,Built-up  Area,Ready To Move,Koramangala,4 Bedroom,,6000,4.0,0.0,625.0
10068,Plot  Area,Ready To Move,Nagarbhavi,4 Bedroom,,600,3.0,0.0,77.0
10069,Super built-up  Area,Ready To Move,Hosur Road,2 BHK,Kelmsoy,1250,2.0,2.0,65.0
10070,Plot  Area,Ready To Move,Seegehalli,3 Bedroom,,2400,4.0,1.0,240.0
10071,Super built-up  Area,Ready To Move,Begur,3 BHK,Spews L,1304,3.0,0.0,65.0
10072,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3.0,2.0,268.0
10073,Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,980,2.0,1.0,77.44
10074,Super built-up  Area,Ready To Move,Ramanashree Enclave,2 BHK,Sumesa ,1275,2.0,2.0,49.5
10075,Plot  Area,Ready To Move,"Yelahanka,MVIT college",1 Bedroom,,10030,1.0,1.0,150.0
10076,Plot  Area,Ready To Move,Banjara Layout,3 Bedroom,,2500,4.0,0.0,140.0
10077,Built-up  Area,Ready To Move,Bidadi,4 Bedroom,,3600,4.0,0.0,225.0
10078,Plot  Area,Ready To Move,Anekal,3 Bedroom,SRbiaxu,2400,4.0,0.0,95.0
10079,Super built-up  Area,Ready To Move,Chikku Lakshmaiah Layout,3 BHK,Prlis A,2300,3.0,2.0,280.0
10080,Super built-up  Area,18-May,Kanakpura Road,3 BHK,Wiowsri,1450,2.0,2.0,70.18
10081,Super built-up  Area,Ready To Move,Electronic City,2 BHK,MVnexde,890,2.0,1.0,40.0
10082,Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Esave E,1340,2.0,3.0,85.0
10083,Super built-up  Area,Ready To Move,Vidyaranyapura,3 BHK,,1100,2.0,1.0,75.0
10084,Super built-up  Area,Ready To Move,Kengeri,2 BHK,VBvenal,750,2.0,1.0,40.0
10085,Plot  Area,Ready To Move,Basaveshwara Nagar,4 Bedroom,,700,4.0,2.0,125.0
10086,Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,DLhtsnd,1300,2.0,2.0,66.0
10087,Super built-up  Area,21-Dec,HRBR Layout,2 BHK,,1301,2.0,1.0,120.0
10088,Built-up  Area,Ready To Move,Gnana Bharathi,9 Bedroom,,3200,8.0,1.0,130.0
10089,Plot  Area,Ready To Move,Pillahalli,3 Bedroom,,1900,2.0,,92.0
10090,Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,Soazak ,1299,2.0,1.0,105.0
10091,Super built-up  Area,18-May,Anugrah Layout,3 BHK,,1250,3.0,3.0,40.0
10092,Plot  Area,Ready To Move,Whitefield,4 Bedroom,Ieuseut,1600,4.0,2.0,300.0
10093,Super built-up  Area,Ready To Move,Kalkere,2 BHK,Sothin ,925,2.0,1.0,55.0
10094,Plot  Area,Ready To Move,Meenakunte,3 Bedroom,Sreat R,3900,3.0,3.0,250.0
10095,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1107,2.0,1.0,45.0
10096,Plot  Area,Ready To Move,Ramesh Nagar,2 Bedroom,,1400,2.0,2.0,160.0
10097,Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,,1300,2.0,1.0,67.0
10098,Built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,,570,2.0,1.0,62.0
10099,Super built-up  Area,Ready To Move,Hiremath Layout,3 BHK,MadorSp,1715,3.0,2.0,95.0
10100,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1200,2.0,1.0,55.0
10101,Plot  Area,Ready To Move,9th Block Jayanagar,6 Bedroom,,1200,5.0,1.0,280.0
10102,Super built-up  Area,Ready To Move,Ashok Nagar,2 BHK,,703,2.0,1.0,60.0
10103,Super built-up  Area,18-Sep,Talaghattapura,2 BHK,,921,2.0,2.0,29.47
10104,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Saavean,1144,2.0,2.0,65.0
10105,Super built-up  Area,21-Jan,Kanakpura Road,1 BHK,PrarePa,525,1.0,1.0,26.01
10106,Super built-up  Area,Ready To Move,Suddaguntepalya,3 BHK,Asnex A,1400,2.0,2.0,56.0
10107,Super built-up  Area,18-Jun,Balagere,1 BHK,Soresea,661,1.0,1.0,33.0
10108,Plot  Area,Ready To Move,Upkar Layout,6 Bedroom,,1200,6.0,2.0,160.0
10109,Built-up  Area,Ready To Move,Kengeri Satellite Town,5 BHK,,1200,5.0,2.0,70.0
10110,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Prensya,1705,3.0,1.0,91.0
10111,Plot  Area,Ready To Move,Anjana Nagar,5 Bedroom,,1035,5.0,1.0,170.0
10112,Super built-up  Area,Ready To Move,Kadugodi,3 BHK,SRldsnt,1430,2.0,0.0,55.0
10113,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Srconor,1240,2.0,2.0,55.0
10114,Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,,1325,2.0,2.0,60.8
10115,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1230,2.0,2.0,44.0
10116,Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,,1000,2.0,3.0,28.0
10117,Plot  Area,Ready To Move,Gollarahatti,4 Bedroom,,740,2.0,1.0,24.5
10118,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,SLnssPr,1330,2.0,2.0,46.45
10119,Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Adeatlm,3005,5.0,,275.0
10120,Super built-up  Area,Ready To Move,Shivaji Nagar,3 BHK,FBazaah,1300,3.0,2.0,170.0
10121,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1243,2.0,2.0,46.0
10122,Built-up  Area,Ready To Move,Kengeri Satellite Town,4 Bedroom,,936,2.0,1.0,60.84
10123,Super built-up  Area,18-Apr,Banashankari Stage III,3 BHK,,1500,2.0,2.0,100.0
10124,Plot  Area,Ready To Move,Kodigehalli,3 Bedroom,,1200,4.0,1.0,156.0
10125,Built-up  Area,Ready To Move,Cox Town,2 BHK,,1073,2.0,2.0,72.0
10126,Built-up  Area,Ready To Move,Kudlu,2 BHK,GKityde,1300,2.0,2.0,56.0
10127,Plot  Area,18-May,Sarjapur,4 Bedroom,Prldsum,4201,4.0,3.0,435.0
10128,Built-up  Area,18-Dec,Electronic City,2 BHK,,1065,2.0,1.0,30.75
10129,Super built-up  Area,18-Apr,Whitefield,2 BHK,Prtates,1216,2.0,1.0,66.88
10130,Built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1252,3.0,2.0,59.0
10131,Super built-up  Area,19-Aug,Hormavu,2 BHK,,1196,2.0,1.0,44.8
10132,Built-up  Area,Ready To Move,Kudlu,2 BHK,Srrnasa,1027,2.0,2.0,44.0
10133,Plot  Area,Ready To Move,Padmanabhanagar,3 Bedroom,,610,2.0,1.0,75.0
10134,Super built-up  Area,Ready To Move,Poornapragna Housing Society Layout,3 BHK,,1270,2.0,2.0,57.15
10135,Super built-up  Area,16-Nov,Mico Layout,2 BHK,Prs 2hi,1171,2.0,2.0,39.0
10136,Super built-up  Area,Ready To Move,Kothannur,3 BHK,,1215,2.0,3.0,48.6
10137,Plot  Area,Ready To Move,Venkateswara Nagar,1 Bedroom,,600,1.0,0.0,20.0
10138,Super built-up  Area,19-Dec,Whitefield,2 BHK,Oreldhi,1180,2.0,1.0,77.0
10139,Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Sryalan,1160,2.0,1.0,33.51
10140,Plot  Area,Ready To Move,Chikkagubbi,4 Bedroom,LGrldti,4382,4.0,3.0,400.0
10141,Super built-up  Area,20-Sep,Whitefield,3 BHK,Goted U,2140,3.0,2.0,139.0
10142,Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,GoandAc,1500,3.0,1.0,100.0
10143,Super built-up  Area,Ready To Move,Banaswadi,2 BHK,Naavehi,1008,2.0,2.0,52.0
10144,Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,SoechHa,1921,4.0,3.0,129.0
10145,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Puncyya,1127,2.0,2.0,32.0
10146,Super built-up  Area,18-May,Rajaji Nagar,3 BHK,Pumesim,1621,3.0,1.0,124.0
10147,Plot  Area,Ready To Move,Poornapragna Housing Society Layout,3 Bedroom,,2400,3.0,0.0,360.0
10148,Super built-up  Area,Ready To Move,Banashankari 2 nd Stage,3 BHK,,1030,2.0,2.0,77.25
10149,Super built-up  Area,18-Aug,Whitefield,2 BHK,,1314,2.0,1.0,84.0
10150,Super built-up  Area,Ready To Move,Choodasandra,3 BHK,GRhtiru,1220,3.0,1.0,56.0
10151,Plot  Area,18-Mar,Banashankari Stage VI,4 Bedroom,,600,3.0,1.0,97.0
10152,Built-up  Area,Ready To Move,JP Nagar,3 BHK,Meowns ,1590,2.0,3.0,85.0
10153,Super built-up  Area,Ready To Move,Shivaji Nagar,2 BHK,,703,2.0,1.0,49.5
10154,Super built-up  Area,18-Aug,Hosakerehalli,3 BHK,Maunt M,1795,3.0,2.0,64.62
10155,Built-up  Area,Ready To Move,Gottigere,4 Bedroom,,3000,3.0,0.0,132.0
10156,Super built-up  Area,18-Dec,Sarjapur  Road,4 BHK,Klark L,4395,4.0,2.0,242.0
10157,Super built-up  Area,Ready To Move,Electronic City,2 BHK,KBityo ,825,2.0,1.0,35.0
10158,Super built-up  Area,18-Dec,Yelahanka,4 BHK,Nileyap,4025,6.0,1.0,350.0
10159,Super built-up  Area,22-Jan,Vajarahalli,3 BHK,,1254,2.0,1.0,70.0
10160,Built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,,2040,3.0,2.0,114.0
10161,Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2215,4.0,2.0,154.0
10162,Super built-up  Area,Ready To Move,Jalahalli,2 BHK,Tahtsla,1478,2.0,2.0,125.0
10163,Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Sariaat,2475,4.0,3.0,337.0
10164,Super built-up  Area,Ready To Move,Cambridge Layout,3 BHK,Bhacy L,1669,3.0,2.0,298.0
10165,Super built-up  Area,Ready To Move,Nagappa Reddy Layout,3 BHK,Roarkan,1820,3.0,2.0,79.5
10166,Super built-up  Area,19-Dec,Horamavu Agara,3 BHK,Prhar G,1623,3.0,1.0,89.0
10167,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1243,2.0,2.0,46.0
10168,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Elodsre,1200,2.0,2.0,40.5
10169,Super built-up  Area,Ready To Move,Gottigere,3 BHK,Sklls C,1613,3.0,3.0,72.0
10170,Super built-up  Area,Ready To Move,Rajiv Gandhi Nagar,2 BHK,Almid P,1293,2.0,2.0,80.0
10171,Super built-up  Area,Ready To Move,Hoskote,2 BHK,Corus C,1065,2.0,2.0,28.5
10172,Super built-up  Area,18-Apr,Kudlu Gate,2 BHK,SunetSo,940,2.0,1.0,69.57
10173,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Trurea ,1181,2.0,1.0,65.0
10174,Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Sariaat,2215,3.0,2.0,275.0
10175,Built-up  Area,Ready To Move,Marathahalli,1 BHK,RookaJh,1100,2.0,,75.0
10176,Super built-up  Area,Ready To Move,MLA Layout,2 BHK,,1050,2.0,1.0,36.0
10177,Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Mayne A,1260,2.0,1.0,75.0
10178,Super built-up  Area,Ready To Move,Banashankari Stage II,5 BHK,,2800,3.0,2.0,425.0
10179,Super built-up  Area,Ready To Move,Dodda Banaswadi,3 BHK,,1500,3.0,2.0,56.0
10180,Plot  Area,Ready To Move,KR Puram,6 Bedroom,Coronte,1200,6.0,3.0,132.0
10181,Plot  Area,18-May,Esther Enclave Layout,2 Bedroom,,1000,2.0,0.0,66.0
10182,Super built-up  Area,Ready To Move,Whitefield,3 BHK,PaantPl,1530,3.0,3.0,73.0
10183,Super built-up  Area,Ready To Move,HSR Layout,2 BHK,NRosete,1140,2.0,2.0,46.0
10184,Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,3 BHK,AlEcone,1864,3.0,3.0,115.0
10185,Built-up  Area,Ready To Move,Sarjapur,3 BHK,Coa It ,1575,3.0,3.0,55.0
10186,Plot  Area,18-Dec,Attibele,3 Bedroom,AkArkti,1200,3.0,,105.0
10187,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Deade A,945,2.0,1.0,45.0
10188,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1691,3.0,2.0,100.0
10189,Plot  Area,Ready To Move,KR Garden,2 Bedroom,,1200,2.0,3.0,135.0
10190,Built-up  Area,18-Aug,Electronic City Phase II,3 BHK,Sryalan,1220,3.0,1.0,35.25
10191,Built-up  Area,Ready To Move,Kengeri,1 BHK,KHnumla,600,1.0,1.0,35.0
10192,Super built-up  Area,18-Aug,Whitefield,2 BHK,SSdhimr,1160,2.0,2.0,39.0
10193,Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,3 BHK,AlEcone,1950,2.0,,89.5
10194,Super built-up  Area,Ready To Move,Vittasandra,3 BHK,Prlla C,1650,3.0,1.0,85.0
10195,Built-up  Area,Ready To Move,Annapurneshwari Nagar,4 Bedroom,,2400,4.0,1.0,150.0
10196,Super built-up  Area,Ready To Move,Abbigere,2 BHK,SLtias ,795,1.0,1.0,32.6
10197,Plot  Area,Ready To Move,Raghavendra Nagar,5 Bedroom,,800,5.0,1.0,95.0
10198,Plot  Area,Ready To Move,TC Palaya,5 Bedroom,,1400,5.0,1.0,97.0
10199,Super built-up  Area,Ready To Move,Kalyan nagar,3 BHK,,2285,4.0,1.0,165.0
10200,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1243,2.0,2.0,46.0
10201,Super built-up  Area,Ready To Move,Kammagondahalli,2 BHK,DiiteR ,1263,2.0,1.0,51.5
10202,Super built-up  Area,Ready To Move,Nanjappa Layout Vidyaranyapura,5 BHK,,1200,4.0,2.0,115.0
10203,Super built-up  Area,Ready To Move,Hennur,3 BHK,SLureSi,1345,2.0,1.0,69.0
10204,Built-up  Area,Ready To Move,D Group Employees Layout,5 Bedroom,,4400,5.0,3.0,240.0
10205,Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1360,2.0,1.0,58.0
10206,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1026,2.0,1.0,60.55
10207,Super built-up  Area,Ready To Move,Alfa Garden Layout,2 BHK,,1050,2.0,2.0,38.0
10208,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1460,3.0,3.0,76.0
10209,Super built-up  Area,Ready To Move,Banagiri Nagar,3 BHK,,1525,2.0,2.0,91.48
10210,Built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1843,3.0,2.0,85.0
10211,Super built-up  Area,18-Aug,Ananth Nagar,2 BHK,,1000,2.0,3.0,25.0
10212,Super built-up  Area,Ready To Move,Koramangala,3 BHK,KHage G,1642,2.0,1.0,115.0
10213,Plot  Area,Ready To Move,TC Palaya,3 Bedroom,,1200,2.0,0.0,66.0
10214,Super built-up  Area,Ready To Move,Austin Town,2 BHK,,975,2.0,1.0,60.0
10215,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,44.0
10216,Super built-up  Area,18-Feb,Panathur,2 BHK,,1210,2.0,1.0,77.93
10217,Super built-up  Area,Ready To Move,Rammana Layout,3 BHK,,2000,3.0,2.0,100.0
10218,Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,DLhtsnd,1225,2.0,0.0,68.0
10219,Super built-up  Area,Ready To Move,Jakkur,2 BHK,HRaniIb,1290,2.0,1.0,80.04
10220,Built-up  Area,Ready To Move,Remco Bhel Layout,2 BHK,,1220,2.0,0.0,56.0
10221,Plot  Area,Ready To Move,A Narayanapura,1 Bedroom,,1500,2.0,0.0,85.0
10222,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Maisehi,1361,2.0,2.0,79.0
10224,Built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,NCaveun,1394,2.0,2.0,85.0
10225,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,,870,2.0,1.0,27.0
10226,Plot  Area,Ready To Move,Marasandra,4 Bedroom,,5000,5.0,3.0,300.0
10227,Super built-up  Area,18-May,Rajaji Nagar,2 BHK,Pumesim,1222,2.0,2.0,98.0
10228,Super built-up  Area,Ready To Move,Hebbal,2 BHK,Mahosya,1420,2.0,1.0,99.39
10229,Super built-up  Area,Ready To Move,Bellandur,3 BHK,,1846,3.0,2.0,135.0
10231,Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,IBityin,1167,2.0,2.0,64.08
10232,Super built-up  Area,Ready To Move,Ananth Nagar,2 BHK,,902,2.0,2.0,25.0
10233,Super built-up  Area,Ready To Move,Kannamangala,4 BHK,,2422,4.0,3.0,135.0
10234,Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1050,2.0,2.0,52.5
10235,Built-up  Area,Ready To Move,Rajapura,2 BHK,,1000,2.0,0.0,50.0
10236,Built-up  Area,Ready To Move,Kundalahalli,2 BHK,,1260,2.0,0.0,58.0
10237,Built-up  Area,Ready To Move,Banashankari Stage II,3 Bedroom,,3000,3.0,2.0,450.0
10238,Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsen,939,2.0,2.0,39.0
10239,Plot  Area,Ready To Move,Konanakunte,9 Bedroom,,1590,6.0,1.0,150.0
10240,Plot  Area,Ready To Move,Jalahalli,1 Bedroom,,600,1.0,0.0,37.0
10241,Built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,,1298,2.0,1.0,59.0
10242,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Asintas,1710,3.0,2.0,135.0
10243,Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Srnumum,1000,2.0,1.0,45.0
10244,Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,Reitice,3350,3.0,3.0,150.0
10245,Plot  Area,Ready To Move,Bagalakunte,2 Bedroom,,1200,4.0,1.0,138.0
10246,Built-up  Area,Ready To Move,RPC layout,2 BHK,,1100,2.0,2.0,68.0
10247,Super built-up  Area,Ready To Move,Jalahalli,1 BHK,Vaniai ,615,1.0,1.0,46.0
10248,Super built-up  Area,18-Apr,Sarjapur  Road,2 BHK,PualeSk,1350,2.0,1.0,85.0
10249,Built-up  Area,Ready To Move,Sultan Palaya,4 Bedroom,,5000,5.0,2.0,325.0
10250,Super built-up  Area,Ready To Move,Cunningham Road,3 BHK,Lelia M,2700,3.0,1.0,501.0
10251,Plot  Area,Ready To Move,Vijaya Bank Layout,6 Bedroom,,4000,6.0,2.0,460.0
10252,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Soiniy ,1718,3.0,2.0,130.0
10253,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1680,3.0,2.0,112.0
10254,Plot  Area,Ready To Move,Hulimavu,2 Bedroom,,1500,2.0,0.0,90.0
10255,Super built-up  Area,18-May,Sarjapur  Road,3 BHK,AsastDe,1157,2.0,1.0,72.0
10256,Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,,1179,2.0,1.0,51.0
10258,Super built-up  Area,18-Mar,Phase 1 Kammasandra,2 BHK,,1105,2.0,2.0,28.18
10259,Super built-up  Area,Ready To Move,Banashankari,3 BHK,Bregae ,1800,3.0,2.0,175.0
10260,Super built-up  Area,Ready To Move,Jalahalli East,2 BHK,ShshaSa,1010,2.0,1.0,52.0
10261,Super built-up  Area,18-Jan,Electronic City,1 BHK,Prarkun,630,1.0,1.0,46.0
10262,Plot  Area,19-Apr,Anekal,2 Bedroom,,1200,2.0,1.0,36.1
10263,Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,,1025,2.0,1.0,60.0
10264,Super built-up  Area,Ready To Move,Hennur Road,2 BHK,,1195,2.0,2.0,59.0
10265,Super built-up  Area,18-Feb,Whitefield,2 BHK,Alsta F,1012,2.0,1.0,58.0
10266,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,1884,4.0,2.0,118.0
10267,Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,2 BHK,Soe 2as,1090,2.0,1.0,37.0
10268,Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,Prone M,1300,3.0,2.0,77.99
10269,Super built-up  Area,Ready To Move,Amblipura,4 BHK,IDldsin,2950,4.0,2.0,250.0
10270,Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,1710,3.0,3.0,85.0
10271,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1500,3.0,1.0,68.0
10272,Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,Jae 1ke,1310,2.0,2.0,53.0
10273,Super built-up  Area,18-Dec,Dommasandra,2 BHK,,674,1.0,1.0,19.9
10274,Built-up  Area,Ready To Move,Hoodi,3 BHK,,1350,3.0,2.0,70.0
10275,Built-up  Area,Ready To Move,Hennur Gardens,3 BHK,PlhtsHe,1464,2.0,2.0,115.0
10276,Built-up  Area,Ready To Move,Marsur,3 BHK,Asara S,715,2.0,1.0,29.0
10277,Built-up  Area,18-Dec,Electronic City,3 BHK,,1400,2.0,1.0,40.45
10278,Super built-up  Area,19-Dec,Electronic City Phase II,3 BHK,DSineSt,1625,2.0,2.0,48.75
10279,Built-up  Area,18-Dec,Electronic City,2 BHK,,1065,2.0,1.0,30.76
10280,Plot  Area,Ready To Move,Kumaraswami Layout,6 Bedroom,,510,4.0,1.0,70.0
10281,Super built-up  Area,Ready To Move,HMT Layout,3 BHK,,1385,3.0,3.0,90.0
10282,Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,JKmesHo,1040,2.0,1.0,50.0
10283,Super built-up  Area,Ready To Move,Haralur Road,3 BHK,,1817,3.0,2.0,110.0
10284,Super built-up  Area,Ready To Move,Volagerekallahalli,2 BHK,PSterAs,1205,2.0,1.0,47.0
10285,Super built-up  Area,Ready To Move,Volagerekallahalli,2 BHK,,1070,2.0,2.0,33.43
10286,Super built-up  Area,Ready To Move,Kodathi,2 BHK,,1070,2.0,1.0,52.0
10287,Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,,1340,2.0,1.0,75.0
10288,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,ARomee ,980,2.0,2.0,35.0
10289,Built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,SVthaho,1006,2.0,0.0,44.0
10290,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1098,2.0,1.0,71.0
10291,Built-up  Area,Ready To Move,Mico Layout,2 BHK,MyeurGr,1200,2.0,1.0,53.5
10292,Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,4190,4.0,,325.0
10293,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Ahriaup,1019,2.0,1.0,62.0
10294,Super built-up  Area,18-May,Whitefield,2 BHK,,1150,2.0,2.0,40.21
10296,Super built-up  Area,Ready To Move,Yeshwanthpur Industrial Suburb,2 BHK,Essic C,1415,2.0,2.0,120.0
10297,Built-up  Area,21-Dec,"Electronic city Phase 1, ",3 BHK,,1750,3.0,2.0,58.0
10298,Super built-up  Area,18-Dec,Raja Rajeshwari Nagara,3 BHK,,1537,3.0,2.0,81.0
10299,Built-up  Area,Ready To Move,Chennappa Layout,2 BHK,Mawerer,1050,2.0,2.0,45.0
10300,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1452,3.0,3.0,55.6
10301,Super built-up  Area,Ready To Move,Domlur,2 BHK,IBictnd,1246,2.0,1.0,95.0
10302,Built-up  Area,Ready To Move,Yelahanka,3 BHK,PrrloMo,1890,4.0,2.0,85.0
10303,Super built-up  Area,18-May,Electronic City Phase II,2 BHK,MJtroty,972,2.0,1.0,40.0
10304,Plot  Area,Ready To Move,5th Block Jayanagar,4 Bedroom,,10624,4.0,2.0,2340.0
10305,Plot  Area,Ready To Move,Brookefield,4 Bedroom,Goodsrb,1500,5.0,3.0,160.0
10306,Super built-up  Area,18-Aug,Electronic City,1 BHK,Prarkun,630,1.0,1.0,33.7
10307,Plot  Area,18-Mar,Kothanur,8 Bedroom,,1050,5.0,0.0,80.0
10308,Built-up  Area,Ready To Move,Shingapura,3 BHK,,1255,2.0,1.0,60.0
10309,Plot  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,,1900,4.0,2.0,185.0
10310,Plot  Area,Ready To Move,Doddaballapur,3 Bedroom,,2440,3.0,1.0,142.0
10311,Super built-up  Area,21-May,Kanakpura Road,3 BHK,GolusLi,1938,3.0,3.0,92.69
10312,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,,1711,3.0,2.0,125.0
10313,Plot  Area,Ready To Move,Nagarbhavi,5 Bedroom,,1200,4.0,3.0,240.0
10314,Super built-up  Area,18-Jul,CV Raman Nagar,2 BHK,Pu270a ,1392,2.0,1.0,95.0
10315,Super built-up  Area,18-Mar,Haralur Road,2 BHK,SNnia E,1225,2.0,1.0,77.0
10316,Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Saitya ,3418,3.0,,235.0
10317,Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soweray,1750,3.0,2.0,120.0
10318,Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Mayne A,1260,2.0,1.0,80.0
10319,Super built-up  Area,19-Dec,Sarjapur  Road,1 BHK,AsastDe,691,1.0,1.0,31.1
10320,Plot  Area,Ready To Move,BTM 2nd Stage,4 Bedroom,,2400,3.0,2.0,400.0
10321,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NDionas,1285,2.0,1.0,78.0
10322,Built-up  Area,Ready To Move,Hebbal,3 BHK,Thuse F,1590,3.0,2.0,96.0
10323,Super built-up  Area,Ready To Move,9th Phase JP Nagar,3 BHK,JSyane ,1571,3.0,2.0,65.0
10324,Built-up  Area,Ready To Move,Hebbal Kempapura,5 Bedroom,,2800,5.0,1.0,220.0
10325,Super built-up  Area,Ready To Move,Garudachar Palya,2 BHK,,1060,2.0,1.0,48.66
10326,Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255,2.0,1.0,58.0
10327,Plot  Area,Ready To Move,Govindapura,4 Bedroom,,702,4.0,0.0,65.0
